Date,P_av,P_jdsp,P_inmet_aut,P_inmet_conv,P_maplu_esc,P_average,Pacum_P_av,Pacum_P_jdsp,Pacum_P_inmet_aut,Pacum_P_inmet_conv,Pacum_P_maplu_esc,Pacum_P_average
2016-01-25,4.2,35.2,9.0,22.4,18.8,17.92,362.80000000000007,394.79999999999995,391.2,397.19999999999993,395.6,388.32
2016-01-26,0.0,0.0,7.6,15.4,5.8,5.76,362.80000000000007,394.79999999999995,398.8,412.5999999999999,401.40000000000003,394.08
2016-01-27,0.4,2.6,4.2,0.2,2.2,1.9200000000000004,363.20000000000005,397.4,403.0,412.7999999999999,403.6,396.0
2016-01-28,0.0,0.8,0.0,4.0,9.8,2.9200000000000004,363.20000000000005,398.2,403.0,416.7999999999999,413.40000000000003,398.92
2016-01-29,1.2000000000000002,9.6,16.2,15.8,0.8,8.719999999999999,364.40000000000003,407.8,419.2,432.5999999999999,414.20000000000005,407.64
2016-01-30,3.4,2.8000000000000003,3.8,3.2,5.2,3.6799999999999997,367.8,410.6,423.0,435.7999999999999,419.40000000000003,411.32
2016-01-31,0.0,0.0,0.0,0.0,0.0,0.0,367.8,410.6,423.0,435.7999999999999,419.40000000000003,411.32
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,367.8,410.6,423.0,435.7999999999999,419.40000000000003,411.32
2016-02-02,0.0,0.0,0.0,0.0,0.0,0.0,367.8,410.6,423.0,435.7999999999999,419.40000000000003,411.32
2016-02-03,0.0,0.0,0.0,0.0,0.0,0.0,367.8,410.6,423.0,435.7999999999999,419.40000000000003,411.32
2016-02-04,0.0,2.2,0.0,0.0,0.0,0.44000000000000006,367.8,412.8,423.0,435.7999999999999,419.40000000000003,411.76
2016-02-05,7.4,2.0,2.0,0.0,0.0,2.2800000000000002,375.2,414.8,425.0,435.7999999999999,419.40000000000003,414.03999999999996
2016-02-06,0.0,10.8,1.0,2.8,0.2,2.96,375.2,425.6,426.0,438.5999999999999,419.6,416.99999999999994
2016-02-07,22.6,4.6,5.6,0.0,10.4,8.64,397.8,430.20000000000005,431.6,438.5999999999999,430.0,425.63999999999993
2016-02-08,4.0,2.8,5.4,10.2,0.2,4.52,401.8,433.00000000000006,437.0,448.7999999999999,430.2,430.1599999999999
2016-02-09,0.0,0.0,0.0,0.0,0.0,0.0,401.8,433.00000000000006,437.0,448.7999999999999,430.2,430.1599999999999
2016-02-10,0.0,0.0,0.0,0.0,0.0,0.0,401.8,433.00000000000006,437.0,448.7999999999999,430.2,430.1599999999999
2016-02-11,23.0,2.8000000000000003,27.0,0.0,12.6,13.079999999999998,424.8,435.80000000000007,464.0,448.7999999999999,442.8,443.2399999999999
2016-02-12,2.0,1.2000000000000002,13.4,28.4,0.0,9.0,426.8,437.00000000000006,477.4,477.1999999999999,442.8,452.2399999999999
2016-02-13,0.0,0.0,0.0,13.6,0.2,2.76,426.8,437.00000000000006,477.4,490.7999999999999,443.0,454.9999999999999
2016-02-14,0.0,0.0,0.0,0.0,0.0,0.0,426.8,437.00000000000006,477.4,490.7999999999999,443.0,454.9999999999999
