Date,Precipitation,Year,Month,Day
1961-03-02,0.0,1961,3,2
1961-03-03,6.92774295806885,1961,3,3
1961-03-04,8.91873455047607,1961,3,4
1961-03-05,2.27637195587158,1961,3,5
1961-03-06,0.623914003372192,1961,3,6
1961-03-07,8.79350471496582,1961,3,7
1961-03-08,2.2490816116333,1961,3,8
1961-03-09,0.964577853679657,1961,3,9
1961-03-10,5.794457912445071,1961,3,10
1961-03-11,11.028151512146001,1961,3,11
1961-03-12,16.7003040313721,1961,3,12
1961-03-13,8.13215827941895,1961,3,13
1961-03-14,3.4607121944427504,1961,3,14
1961-03-15,15.5230350494385,1961,3,15
1961-03-16,21.2743816375732,1961,3,16
1961-03-17,6.22856903076172,1961,3,17
1961-03-18,0.3646587431430821,1961,3,18
1961-03-19,0.6854393482208249,1961,3,19
1961-03-20,0.0038858666084706796,1961,3,20
1961-03-21,7.55069875717163,1961,3,21
1961-03-22,7.19961214065552,1961,3,22
1961-03-23,4.03109550476074,1961,3,23
1961-03-24,4.07404041290283,1961,3,24
1961-03-25,4.51887989044189,1961,3,25
1961-03-26,1.33052086830139,1961,3,26
1961-03-27,1.61364340782166,1961,3,27
1961-03-28,3.62064492946956e-05,1961,3,28
1961-03-29,0.0,1961,3,29
1961-03-30,8.703051567077638,1961,3,30
1961-03-31,0.0,1961,3,31
1961-04-01,0.216330379247665,1961,4,1
1961-04-02,3.93740034103394,1961,4,2
1961-04-03,20.6408576965332,1961,4,3
1961-04-04,15.599525451660199,1961,4,4
1961-04-05,4.71099138259888,1961,4,5
1961-04-06,4.43207311630249,1961,4,6
1961-04-07,26.0400333404541,1961,4,7
1961-04-08,43.992515563964794,1961,4,8
1961-04-09,10.8808069229126,1961,4,9
1961-04-10,13.029397964477502,1961,4,10
1961-04-11,1.39046454429626,1961,4,11
1961-04-12,0.3923757076263429,1961,4,12
1961-04-13,0.00164800917264074,1961,4,13
1961-04-14,0.0,1961,4,14
1961-04-15,0.00827655289322138,1961,4,15
1961-04-16,0.0,1961,4,16
1961-04-17,4.72467184066772,1961,4,17
1961-04-18,0.4200741052627561,1961,4,18
1961-04-19,0.00154069694690406,1961,4,19
1961-04-20,0.0,1961,4,20
1961-04-21,0.0,1961,4,21
1961-04-22,0.0,1961,4,22
1961-04-23,1.5663844347000102,1961,4,23
1961-04-24,0.0,1961,4,24
1961-04-25,0.0,1961,4,25
1961-04-26,6.479407787323001,1961,4,26
1961-04-27,39.702220916748,1961,4,27
1961-04-28,8.71902656555176,1961,4,28
1961-04-29,0.595786273479462,1961,4,29
1961-04-30,0.0634868592023849,1961,4,30
1961-05-01,0.420024067163467,1961,5,1
1961-05-02,0.115426510572433,1961,5,2
1961-05-03,0.0,1961,5,3
1961-05-04,2.38541269936832e-05,1961,5,4
1961-05-05,0.0,1961,5,5
1961-05-06,0.0,1961,5,6
1961-05-07,4.931933195173599e-10,1961,5,7
1961-05-08,2.3964921638253103e-06,1961,5,8
1961-05-09,2.97784055192096e-08,1961,5,9
1961-05-10,0.0,1961,5,10
1961-05-11,0.0,1961,5,11
1961-05-12,0.0,1961,5,12
1961-05-13,0.0,1961,5,13
1961-05-14,0.0,1961,5,14
1961-05-15,0.0,1961,5,15
1961-05-16,0.0,1961,5,16
1961-05-17,0.0,1961,5,17
1961-05-18,0.7361372709274291,1961,5,18
1961-05-19,1.52963864803314,1961,5,19
1961-05-20,1.67834174633026,1961,5,20
1961-05-21,0.228912636637688,1961,5,21
1961-05-22,3.74273920059204,1961,5,22
1961-05-23,0.0,1961,5,23
1961-05-24,0.277082145214081,1961,5,24
1961-05-25,3.841225043288429e-05,1961,5,25
1961-05-26,2.15072432752095e-07,1961,5,26
1961-05-27,0.185504466295242,1961,5,27
1961-05-28,6.524225234985349,1961,5,28
